onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	5.958347878000495	1	photo_story10
38	14	Belief	1	1	3.67143545900035	1	belief_story10
64	14	Belief	1	2	3.999786686999869	1	belief_story08
90	14	Photo	2	2	4.079791267999099	1	photo_story01
116	14	Belief	1	1	2.495990489001997	1	belief_story05
142	14	Photo	2	1	4.02363177100051	1	photo_story11
168	14	Photo	2	2	3.255284385999403	1	photo_story08
194	14	Belief	1	1	3.351443159001064	1	belief_story12
220	14	Photo	2	1	3.895499762002146	1	photo_story04
246	14	Belief	1	2	2.94337441800235	1	belief_story02
272	14	Belief	1	1	4.127482078001776	1	belief_story06
298	14	Photo	2	1	2.223842823001178	1	photo_story05
