onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.202884927999548	1	belief_story17
38	14	Photo	2	2	2.762554458997329	1	photo_story19
64	14	Photo	2	2	3.22757387999809	1	photo_story21
90	14	Belief	1	2	2.635495083999558	1	belief_story15
116	14	Photo	2	1	1.794875706997118	1	photo_story17
142	14	Belief	1	2	3.067070392997266	1	belief_story19
168	14	Belief	1	2	3.058514973999991	1	belief_story20
194	14	Photo	2	1	2.339271507997182	1	photo_story23
220	14	Belief	1	1	4.203482649998477	1	belief_story24
246	14	Photo	2	1	2.547209119999025	1	photo_story18
272	14	Photo	2	1	2.018106561998138	1	photo_story16
298	14	Belief	1	2	2.234261872999923	1	belief_story14
