onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.691036146999977	1	belief_story11
38	14	Photo	2	1	2.754359802002	1	photo_story12
64	14	Belief	1	2	2.738359248000052	1	belief_story09
90	14	Photo	2	2	2.458299272999284	1	photo_story09
116	14	Photo	2	2	3.012040830999467	1	photo_story02
142	14	Belief	1	2	2.818405489000725	1	belief_story07
168	14	Belief	1	2	3.531766239000717	1	belief_story01
194	14	Photo	2	1	4.450502202998905	1	photo_story06
220	14	Photo	2	2	2.643842085999495	1	photo_story07
246	14	Belief	1	2	2.971596825998859	1	belief_story03
272	14	Photo	2	2	2.667531118000625	1	photo_story03
298	14	Belief	1	1	2.250965833001828	1	belief_story04
