onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	2.386479494001833	1	photo_story20
38	14	Belief	1	2	2.706730772002629	1	belief_story13
64	14	Photo	2	1	2.41921990800256	1	photo_story22
90	14	Belief	1	1	2.867395555000257	1	belief_story23
116	14	Belief	1	1	2.834823413999402	1	belief_story22
142	14	Photo	2	2	2.330769856002007	1	photo_story15
168	14	Photo	2	2	2.403109700000641	1	photo_story14
194	14	Belief	1	1	2.001833286001784	1	belief_story18
220	14	Belief	1	1	2.041945255001338	1	belief_story16
246	14	Photo	2	2	3.449907810001605	1	photo_story13
272	14	Belief	1	2	3.114504863002367	1	belief_story21
298	14	Photo	2	1	4.69780769800127	0	photo_story24
