onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	5.041772366000259	1	belief_story03
38	14	Photo	2	2	2.523150563999479	1	photo_story11
64	14	Photo	2	1	3.54638961099954	1	photo_story08
90	14	Belief	1	1	2.762925746000292	1	belief_story07
116	14	Photo	2	2	3.330553816999782	1	photo_story04
142	14	Belief	1	1	3.986916883999584	0	belief_story09
168	14	Belief	1	2	3.217812326999592	1	belief_story05
194	14	Photo	2	1	4.000246274999881	1	photo_story07
220	14	Belief	1	1	2.674211827999898	1	belief_story02
246	14	Photo	2	1	3.563208966999809	1	photo_story02
272	14	Photo	2	2	4.257999235999705	1	photo_story12
298	14	Belief	1	2	2.866902761000347	1	belief_story10
