onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	3.094244382999932	1	belief_story12
38	14	Photo	2	1	3.085632798999541	1	photo_story12
64	14	Belief	1	2	2.774751253999966	1	belief_story03
90	14	Photo	2	2	2.639268031999563	1	photo_story02
116	14	Photo	2	2	3.262310399999478	1	photo_story03
142	14	Belief	1	1	3.335280382999372	1	belief_story11
168	14	Belief	1	2	3.318049778999921	1	belief_story07
194	14	Photo	2	1	3.75785134599937	1	photo_story04
220	14	Photo	2	1	3.653750269999364	1	photo_story10
246	14	Belief	1	1	2.974696780000158	1	belief_story05
272	14	Photo	2	1	3.967455817999507	1	photo_story06
298	14	Belief	1	1	3.070861090999642	1	belief_story06
