onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.977238045000377	1	belief_story23
38	14	Photo	2	1	3.426450683999974	1	photo_story23
64	14	Photo	2	2	2.762364453000373	1	photo_story14
90	14	Belief	1	1	3.410358678000193	1	belief_story22
116	14	Photo	2	2	3.658071570999709	1	photo_story21
142	14	Belief	1	2	4.378353824999976	1	belief_story21
168	14	Belief	1	2	2.62639860299987	1	belief_story19
194	14	Photo	2	2	3.098364557999957	1	photo_story15
220	14	Belief	1	1	2.34650400099963	1	belief_story17
246	14	Photo	2	2	3.098458192999715	1	photo_story19
272	14	Photo	2	1	4.016959106000286	1	photo_story16
298	14	Belief	1	2	2.801393300999734	1	belief_story13
