onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.140571719006402	1	belief_story10
38	14	Photo	2	2	5.052538781004841	0	photo_story01
64	14	Belief	1	1	2.563609017000999	0	belief_story11
90	14	Photo	2	1	2.900189466003212	1	photo_story10
116	14	Photo	2	1	2.772389360005036	1	photo_story05
142	14	Belief	1	2	2.78873288500472	1	belief_story08
168	14	Belief	1	1	2.388049872999545	1	belief_story12
194	14	Photo	2	2	2.515844285997446	1	photo_story08
220	14	Photo	2	1	4.868357630999526	0	photo_story04
246	14	Belief	1	1	4.644202618001145	0	belief_story05
272	14	Photo	2	1	4.709289432008518	1	photo_story06
298	14	Belief	1	2	3.075786529996549	1	belief_story01
