onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	6.004774233006174	0	photo_story12
38	14	Belief	1	2	4.04344698699424	1	belief_story07
64	14	Belief	1	1	3.499782840997796	1	belief_story04
90	14	Photo	2	2	4.492361808996066	1	photo_story03
116	14	Belief	1	2	3.332515889997012	1	belief_story03
142	14	Photo	2	1	3.539141079003457	1	photo_story11
168	14	Photo	2	2	5.324436975992285	0	photo_story02
194	14	Belief	1	2	3.731333032003022	1	belief_story02
220	14	Photo	2	2	2.492657196999062	1	photo_story07
246	14	Belief	1	2	2.396804424992297	1	belief_story09
272	14	Belief	1	1	3.31672661700577	1	belief_story06
298	14	Photo	2	2	2.684933344004094	1	photo_story09
