onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	2.232258465002815	1	belief_story22
38	14	Photo	2	1	3.616071124997688	1	photo_story14
64	14	Belief	1	2	2.496071052002662	1	belief_story24
90	14	Photo	2	2	2.831657362999977	1	photo_story24
116	14	Photo	2	2	3.047244560999388	1	photo_story22
142	14	Belief	1	2	2.648015409002255	1	belief_story18
168	14	Belief	1	2	3.199222515002475	1	belief_story23
194	14	Photo	2	1	3.32828928699746	1	photo_story19
220	14	Photo	2	2	2.63870896500157	1	photo_story23
246	14	Belief	1	1	2.568371369001397	1	belief_story21
272	14	Photo	2	2	3.046866304001014	1	photo_story18
298	14	Belief	1	1	2.031203142003505	1	belief_story13
