onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	3.990632326000195	1	belief_story03
38	14	Photo	2	1	7.854283303000557	1	photo_story06
64	14	Belief	1	2	4.766646556000524	1	belief_story02
90	14	Photo	2	2	5.52621032100069	0	photo_story02
116	14	Photo	2	1	8.88598356500006	1	photo_story04
142	14	Belief	1	2	4.790175290000661	1	belief_story08
168	14	Belief	1	1	6.621507398000176	0	belief_story12
194	14	Photo	2	2	8.053611017000549	1	photo_story09
220	14	Photo	2	1	4.349645382000745	1	photo_story05
246	14	Belief	1	1	3.925594217000253	1	belief_story11
272	14	Photo	2	1	3.702404366000337	1	photo_story12
298	14	Belief	1	2	8.294557124000676	1	belief_story07
