onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	4.772823147000054	1	photo_story08
38	14	Belief	1	2	4.620973854000113	1	belief_story09
64	14	Belief	1	1	4.588615323999875	1	belief_story05
90	14	Photo	2	1	4.852565995000077	1	photo_story10
116	14	Belief	1	1	4.70868142900008	1	belief_story10
142	14	Photo	2	2	n/a	0	photo_story07
168	14	Photo	2	1	6.148352822000106	1	photo_story11
194	14	Belief	1	1	4.661040234999746	1	belief_story04
220	14	Photo	2	2	5.108393346999947	1	photo_story03
246	14	Belief	1	1	5.325306552999791	1	belief_story06
272	14	Belief	1	2	5.853656484999192	0	belief_story01
298	14	Photo	2	2	6.004091412999514	1	photo_story01
