onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	n/a	0	belief_story11
38	14	Photo	2	1	3.78944231100013	1	photo_story09
64	14	Photo	2	2	n/a	0	photo_story10
90	14	Belief	1	1	5.069135518000621	1	belief_story09
116	14	Photo	2	1	3.965826775000096	1	photo_story01
142	14	Belief	1	1	4.44580350600063	1	belief_story08
168	14	Belief	1	2	3.005883955000172	1	belief_story10
194	14	Photo	2	2	2.693269584000518	1	photo_story11
220	14	Belief	1	1	3.148943793000399	1	belief_story03
246	14	Photo	2	1	3.852965205000146	1	photo_story03
272	14	Photo	2	2	2.861489335999977	1	photo_story04
298	14	Belief	1	2	3.614393396000196	1	belief_story06
