onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	4.216589928999383	0	photo_story02
38	14	Belief	1	2	2.609962868999901	1	belief_story05
64	14	Photo	2	2	5.329278127999714	0	photo_story12
90	14	Belief	1	2	2.569178611999632	1	belief_story12
116	14	Belief	1	1	3.296582031999606	1	belief_story02
142	14	Photo	2	1	2.929356689000087	1	photo_story08
168	14	Photo	2	2	2.656902118999824	1	photo_story05
194	14	Belief	1	1	3.680952312000045	1	belief_story01
220	14	Belief	1	1	3.185549791000085	1	belief_story07
246	14	Photo	2	2	4.257491010000194	0	photo_story06
272	14	Belief	1	2	2.481340885999998	1	belief_story04
298	14	Photo	2	1	5.665103274999638	1	photo_story07
