onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	3.161337368000204	1	belief_story18
38	14	Photo	2	1	4.185396157000469	1	photo_story14
64	14	Belief	1	2	2.976440078000451	1	belief_story17
90	14	Photo	2	2	3.464298003000295	1	photo_story16
116	14	Photo	2	1	3.960903895000229	1	photo_story13
142	14	Belief	1	2	3.041327065000587	1	belief_story23
168	14	Belief	1	1	3.112806572000409	1	belief_story19
194	14	Photo	2	1	2.968830189000073	1	photo_story20
220	14	Photo	2	1	4.489494964000187	1	photo_story21
246	14	Belief	1	1	2.921556207999856	1	belief_story20
272	14	Photo	2	1	6.705237752000357	0	photo_story19
298	14	Belief	1	1	3.097354764000556	1	belief_story15
