onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.396161965999454	1	belief_story12
38	14	Photo	2	2	2.596883258999696	1	photo_story02
64	14	Belief	1	1	2.90864311399946	1	belief_story11
90	14	Photo	2	1	2.901803871000084	1	photo_story04
116	14	Photo	2	2	2.894073388999459	1	photo_story08
142	14	Belief	1	1	3.324973456999942	1	belief_story06
168	14	Belief	1	2	2.309327997999389	1	belief_story08
194	14	Photo	2	1	3.189729676999377	1	photo_story12
220	14	Photo	2	2	2.389095466999606	1	photo_story09
246	14	Belief	1	2	2.54070307999973	1	belief_story02
272	14	Photo	2	1	2.781549725999866	1	photo_story11
298	14	Belief	1	2	2.230041082999378	1	belief_story01
