onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	3.167673742000261	1	photo_story01
38	14	Belief	1	1	3.183568997000293	1	belief_story04
64	14	Belief	1	1	2.664328860000751	1	belief_story10
90	14	Photo	2	2	4.511516195000695	1	photo_story03
116	14	Belief	1	2	3.047327933000815	1	belief_story07
142	14	Photo	2	1	2.831889945000512	1	photo_story05
168	14	Photo	2	1	3.608586065000054	1	photo_story10
194	14	Belief	1	2	2.199437144000512	1	belief_story03
220	14	Photo	2	2	4.119261439000184	1	photo_story07
246	14	Belief	1	2	2.160555145000217	1	belief_story09
272	14	Belief	1	1	1.927429412000492	1	belief_story05
298	14	Photo	2	1	4.072375015000034	1	photo_story06
