onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	3.773295351000343	1	photo_story18
38	14	Belief	1	2	2.588856022999607	1	belief_story24
64	14	Belief	1	1	8.790292685000168	1	belief_story15
90	14	Photo	2	1	4.701495662000525	1	photo_story21
116	14	Belief	1	1	4.708646981000129	1	belief_story21
142	14	Photo	2	1	3.190219472999161	1	photo_story20
168	14	Photo	2	2	3.822033209999063	1	photo_story24
194	14	Belief	1	1	2.55765184899974	1	belief_story13
220	14	Photo	2	1	3.756669427999441	1	photo_story19
246	14	Belief	1	2	3.420791406999342	1	belief_story17
272	14	Belief	1	1	3.453119376999894	1	belief_story20
298	14	Photo	2	2	3.75779018799949	1	photo_story16
