onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	3.84053290599968	1	photo_story10
38	14	Belief	1	1	3.688424107000174	1	belief_story01
64	14	Photo	2	2	4.21831093200035	1	photo_story06
90	14	Belief	1	2	2.497642899999846	1	belief_story12
116	14	Belief	1	2	4.657427420000204	0	belief_story11
142	14	Photo	2	1	3.42558464800004	1	photo_story09
168	14	Photo	2	1	3.385249420999571	1	photo_story03
194	14	Belief	1	2	4.417475248000301	1	belief_story06
220	14	Belief	1	1	3.321707768999659	1	belief_story08
246	14	Photo	2	2	4.18575007399977	0	photo_story05
272	14	Belief	1	2	3.15271236100034	1	belief_story04
298	14	Photo	2	1	3.169218060000276	1	photo_story01
