onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	3.840739935999409	1	belief_story16
38	14	Photo	2	1	2.600379750000684	1	photo_story13
64	14	Belief	1	1	3.273215537001306	1	belief_story19
90	14	Photo	2	2	3.720675062000737	1	photo_story22
116	14	Photo	2	2	2.656951337999999	1	photo_story23
142	14	Belief	1	2	5.487706302001243	0	belief_story23
168	14	Belief	1	2	2.609089115001552	1	belief_story22
194	14	Photo	2	1	3.375696959999914	1	photo_story15
220	14	Photo	2	2	4.095693633000337	1	photo_story17
246	14	Belief	1	2	3.096095426000829	1	belief_story18
272	14	Photo	2	1	4.672590085001502	0	photo_story14
298	14	Belief	1	1	3.712644614000965	1	belief_story14
