onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	1.719703765000304	1	belief_story18
38	14	Photo	2	2	2.223978318999798	1	photo_story20
64	14	Photo	2	1	2.831590112000413	1	photo_story17
90	14	Belief	1	2	2.615894888000184	1	belief_story15
116	14	Photo	2	2	2.479844892000074	1	photo_story21
142	14	Belief	1	1	2.871469753999918	1	belief_story22
168	14	Belief	1	1	2.112219038999683	1	belief_story23
194	14	Photo	2	1	1.97549378199983	1	photo_story22
220	14	Belief	1	1	1.904897444000198	1	belief_story17
246	14	Photo	2	2	2.143738216000202	1	photo_story13
272	14	Photo	2	2	2.791579392000131	1	photo_story19
298	14	Belief	1	1	2.639843007000309	1	belief_story24
