onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	3.314551041999948	1	photo_story07
38	14	Belief	1	2	3.625079528999777	1	belief_story01
64	14	Belief	1	2	2.938618725000197	1	belief_story08
90	14	Photo	2	2	5.217254830999991	1	photo_story09
116	14	Belief	1	1	5.497880503000488	1	belief_story10
142	14	Photo	2	1	2.442149674000575	1	photo_story05
168	14	Photo	2	1	4.145084677000341	1	photo_story11
194	14	Belief	1	1	3.666133898000226	1	belief_story04
220	14	Photo	2	2	3.041317566000544	1	photo_story08
246	14	Belief	1	2	3.15413357899979	1	belief_story09
272	14	Belief	1	2	2.465008515000591	1	belief_story02
298	14	Photo	2	2	4.322592401999827	1	photo_story01
