onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	2.212426133999543	1	photo_story20
38	14	Belief	1	1	4.188675102999696	0	belief_story18
64	14	Photo	2	1	4.525122598999587	0	photo_story24
90	14	Belief	1	1	2.580797537999388	1	belief_story16
116	14	Belief	1	2	3.06844175399965	1	belief_story20
142	14	Photo	2	1	3.133306564999657	1	photo_story18
168	14	Photo	2	1	2.636316023999825	1	photo_story22
194	14	Belief	1	2	2.668292165999446	1	belief_story14
220	14	Belief	1	1	2.956906749999689	1	belief_story24
246	14	Photo	2	1	2.676047124999968	1	photo_story17
272	14	Belief	1	2	3.005132430000231	1	belief_story15
298	14	Photo	2	2	3.053369307000139	1	photo_story13
