onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	3.192746777000139	1	photo_story01
38	14	Belief	1	2	3.856902291001461	1	belief_story11
64	14	Photo	2	2	2.895353544001409	1	photo_story10
90	14	Belief	1	2	3.752882494001824	0	belief_story06
116	14	Belief	1	1	3.415852740996343	1	belief_story03
142	14	Photo	2	1	2.593132160000096	1	photo_story08
168	14	Photo	2	2	2.983891006995691	1	photo_story11
194	14	Belief	1	2	2.727727372999652	1	belief_story04
220	14	Belief	1	1	3.904405246001261	1	belief_story01
246	14	Photo	2	2	2.335907957996824	1	photo_story05
272	14	Belief	1	2	2.431507743996917	1	belief_story10
298	14	Photo	2	1	3.423976035999658	1	photo_story02
