onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	2.858234265004285	1	photo_story17
38	14	Belief	1	1	2.177626100005	1	belief_story15
64	14	Belief	1	1	2.946682429006614	1	belief_story14
90	14	Photo	2	1	2.250537761006854	1	photo_story13
116	14	Belief	1	2	2.691092972003389	1	belief_story17
142	14	Photo	2	2	2.554153474004124	1	photo_story16
168	14	Photo	2	1	3.169524055003421	1	photo_story21
194	14	Belief	1	2	2.154577687004348	1	belief_story16
220	14	Photo	2	1	2.042743135003548	1	photo_story20
246	14	Belief	1	1	2.226089990006585	1	belief_story20
272	14	Belief	1	1	3.874190281007031	1	belief_story19
298	14	Photo	2	1	3.146619931001624	1	photo_story15
