onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	0.5079635670044809	0	belief_story05
38	14	Photo	2	1	n/a	0	photo_story07
64	14	Photo	2	1	3.04380189999938	1	photo_story09
90	14	Belief	1	2	2.331803000000946	1	belief_story12
116	14	Photo	2	2	2.741224277000583	1	photo_story04
142	14	Belief	1	1	2.692311924001842	1	belief_story07
168	14	Belief	1	1	2.700155846003327	1	belief_story08
194	14	Photo	2	2	3.371605006999744	0	photo_story06
220	14	Belief	1	1	2.876376831001835	1	belief_story02
246	14	Photo	2	2	3.628116847001365	1	photo_story12
272	14	Photo	2	1	3.700212612005998	1	photo_story03
298	14	Belief	1	1	3.22765226100455	1	belief_story09
