onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	5.441202779000378	1	belief_story09
38	14	Photo	2	1	4.082359873000314	0	photo_story07
64	14	Photo	2	2	3.330327961000876	1	photo_story05
90	14	Belief	1	1	4.489327454000886	0	belief_story02
116	14	Photo	2	2	3.002445330999763	1	photo_story10
142	14	Belief	1	2	4.521737248000136	1	belief_story06
168	14	Belief	1	2	3.258076485999482	1	belief_story05
194	14	Photo	2	2	2.330329451999205	0	photo_story06
220	14	Belief	1	1	2.658531768000103	1	belief_story01
246	14	Photo	2	1	4.521874546000618	1	photo_story01
272	14	Photo	2	1	3.025412962999326	1	photo_story02
298	14	Belief	1	1	3.946843233999971	1	belief_story07
