onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	2	2.060141136000311	1	belief_story16
38	14	Photo	2	1	2.290694649000216	1	photo_story15
64	14	Belief	1	1	2.580259632002708	1	belief_story21
90	14	Photo	2	2	4.203674322001461	0	photo_story24
116	14	Photo	2	2	2.715710676002345	0	photo_story18
142	14	Belief	1	1	2.14846140300142	1	belief_story15
168	14	Belief	1	2	2.154959199000587	1	belief_story18
194	14	Photo	2	1	2.995857425001304	1	photo_story13
220	14	Photo	2	1	2.284301589999814	1	photo_story20
246	14	Belief	1	2	2.77111403500021	1	belief_story24
272	14	Photo	2	1	2.276379662002	1	photo_story19
298	14	Belief	1	2	3.787591539003188	0	belief_story23
