onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	3.426653177999469	1	belief_story24
38	14	Photo	2	2	2.810499227000037	1	photo_story21
64	14	Photo	2	1	2.570552735000092	1	photo_story23
90	14	Belief	1	2	3.194226504999278	1	belief_story19
116	14	Photo	2	2	7.211163513999963	0	photo_story19
142	14	Belief	1	2	6.977558849999696	0	belief_story15
168	14	Belief	1	1	4.691017383999679	0	belief_story22
194	14	Photo	2	1	4.170114347999515	1	photo_story17
220	14	Belief	1	2	4.859086220999416	1	belief_story21
246	14	Photo	2	2	4.55512473699946	1	photo_story13
272	14	Photo	2	2	3.154007162999733	1	photo_story14
298	14	Belief	1	1	3.378776859000027	1	belief_story16
