onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	2.865697203000309	1	photo_story20
38	14	Belief	1	1	2.802950258999772	1	belief_story23
64	14	Photo	2	1	4.289485752000473	1	photo_story16
90	14	Belief	1	2	4.145462821999899	1	belief_story14
116	14	Belief	1	2	3.63359021999986	1	belief_story20
142	14	Photo	2	2	5.673723480999797	1	photo_story15
168	14	Photo	2	1	4.961435727000207	1	photo_story18
194	14	Belief	1	1	3.209530562000509	1	belief_story17
220	14	Belief	1	2	4.466114605000257	1	belief_story13
246	14	Photo	2	1	5.874544809000326	0	photo_story24
272	14	Belief	1	1	7.017812133000007	1	belief_story18
298	14	Photo	2	1	3.225540280000132	1	photo_story22
