onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	2.547352481000416	1	photo_story14
38	14	Belief	1	1	1.889835497000604	1	belief_story13
64	14	Belief	1	1	2.506908825998835	1	belief_story19
90	14	Photo	2	2	2.545807634000084	1	photo_story16
116	14	Belief	1	2	2.306911784999102	1	belief_story17
142	14	Photo	2	2	2.827451672997995	1	photo_story17
168	14	Photo	2	1	3.011353472000337	0	photo_story21
194	14	Belief	1	1	2.93882683099946	1	belief_story20
220	14	Photo	2	2	2.794448582997575	1	photo_story22
246	14	Belief	1	1	5.291073771997617	0	belief_story14
272	14	Belief	1	2	2.171539164999558	1	belief_story22
298	14	Photo	2	2	2.387018372999592	1	photo_story23
