onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	4.308482181999352	1	photo_story08
38	14	Belief	1	1	2.555640668999331	1	belief_story08
64	14	Photo	2	2	2.62907063899911	1	photo_story12
90	14	Belief	1	2	2.659583791999466	1	belief_story12
116	14	Belief	1	2	2.684134907998668	1	belief_story04
142	14	Photo	2	2	2.595387967998249	1	photo_story04
168	14	Photo	2	2	2.387807482999051	1	photo_story11
194	14	Belief	1	2	3.051630276999276	1	belief_story10
220	14	Belief	1	2	3.397214218999579	1	belief_story11
246	14	Photo	2	1	3.148454308999135	1	photo_story03
272	14	Belief	1	1	2.749209122999673	1	belief_story03
298	14	Photo	2	1	3.156533880999632	1	photo_story09
