onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	3.248505905999991	1	photo_story23
38	14	Belief	1	1	4.03243029999976	1	belief_story14
64	14	Belief	1	2	4.20959271799984	1	belief_story16
90	14	Photo	2	2	3.424135422999825	1	photo_story17
116	14	Belief	1	2	4.257356801000242	1	belief_story24
142	14	Photo	2	1	4.184270925999954	1	photo_story15
168	14	Photo	2	2	3.368270807000044	1	photo_story22
194	14	Belief	1	2	4.192899534000389	1	belief_story22
220	14	Photo	2	2	4.680231678999917	1	photo_story18
246	14	Belief	1	1	2.296259787000054	1	belief_story13
272	14	Belief	1	1	4.83402682399992	1	belief_story21
298	14	Photo	2	2	4.217089972999929	1	photo_story24
