onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	2	2.460915674004355	1	photo_story14
38	14	Belief	1	2	4.206223813001998	1	belief_story15
64	14	Photo	2	1	4.142300191000686	1	photo_story24
90	14	Belief	1	1	2.453694505995372	1	belief_story24
116	14	Belief	1	1	4.333728092999081	1	belief_story23
142	14	Photo	2	2	3.526266396002029	1	photo_story19
168	14	Photo	2	1	2.092907647995162	1	photo_story23
194	14	Belief	1	2	2.844905285004643	1	belief_story14
220	14	Belief	1	1	2.342281723002088	1	belief_story17
246	14	Photo	2	2	2.534134825007641	1	photo_story21
272	14	Belief	1	2	2.245872182000312	1	belief_story13
298	14	Photo	2	1	2.181389873003354	1	photo_story22
