onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Belief	1	1	2.622132201999193	1	belief_story16
38	14	Photo	2	1	2.837543636996998	1	photo_story17
64	14	Photo	2	2	3.205266278004274	0	photo_story15
90	14	Belief	1	2	2.702534662006656	1	belief_story21
116	14	Photo	2	2	2.094260661993758	1	photo_story20
142	14	Belief	1	2	3.750079813005868	1	belief_story20
168	14	Belief	1	2	3.182138720992953	1	belief_story19
194	14	Photo	2	1	3.357017707006889	1	photo_story18
220	14	Belief	1	1	2.581878190001589	1	belief_story22
246	14	Photo	2	1	3.310259290999966	1	photo_story16
272	14	Photo	2	2	2.006367194000632	1	photo_story13
298	14	Belief	1	1	3.374423310000566	1	belief_story18
